1,2,3
0,3.970048523,2.512336381
1,1.195217191,2.839256528
2,0.292023862,1.351281995
3,0.657195773,2.271626609
4,1.36421682,1.296611877
5,3.425399755,1.409082204
6,1.331605736,1.635955715
7,1.995462096,0.42895848
8,3.867632233,3.734513576
9,0.727982709,0.442820353
10,2.69933629,1.329506988
11,2.450959845,0.564177407
12,0.170811719,1.867271142
13,1.345530536,1.623701121
14,2.839580937,0.344798192
15,2.659887385,2.795684208
16,1.468951547,1.950359588
17,0.074370177,4.714749953
18,0.302364267,1.724395847
19,2.108049899,0.356467403
20,2.334589505,2.943708903
21,1.177592782,0.721654493
22,2.423946222,0.698500653
23,0.135714199,0.753756857
24,0.522960759,1.428085244
25,1.299468393,3.504792012
26,0.300698281,0.513603251
27,1.999830964,0.669989798
28,1.44605205,1.656691823
29,0.595825477,1.53467991
30,0.41049215,2.260290059
31,2.560871547,0.096411696
32,1.681662618,2.981673805
33,0.588796035,1.121987147
34,0.034367939,1.332805096
35,0.955402343,2.461096775
36,3.061165273,0.837103637
37,3.948113709,1.634183083
38,1.796718509,3.469227293
39,1.286737909,2.429524527
40,1.196545025,1.448104291
41,0.354190342,2.024042534
42,1.53860666,2.747844387
43,0.807854104,0.752707011
44,3.930361392,2.754406492
45,0.03347095,0.044160963
46,0.487366694,0.768805325
47,1.387990181,2.738510761
48,3.328571498,0.652576936
49,1.107060152,2.261198229
50,2.938616815,0.524454917
51,0.411307683,1.758595285
52,1.343763324,2.514417138
53,1.205450296,1.783508474
54,3.010344278,3.423028629
55,2.032797084,0.641021365
56,1.822657318,0.545617297
57,1.098486821,1.020374176
58,0.479883026,0.079195404
59,0.833097732,0.449713632
60,3.464155339,1.352111148
61,4.67414092,0.797045882
62,3.341493048,1.355556544
63,0.455312607,2.382895446
64,2.236188121,1.174561063
65,3.567897971,1.043742178
66,2.188932795,2.131754258
67,1.569763886,1.059864965
68,1.129060897,0.257836171
69,0.399608624,3.198174574
70,0.610132436,3.460818667
71,2.354402289,2.660270254
72,0.562851227,1.827989146
73,0.039413688,1.137430244
74,2.159610389,1.295959495
75,2.160591551,1.608127507
76,2.249782051,1.30681125
77,0.913367079,0.238227626
78,2.178068955,0.711060019
79,2.1674624,1.72966774
80,1.906895248,0.286557035
81,2.451373743,2.460445365
82,2.355047056,0.805007082
83,1.41034947,6.235107041
84,1.75626858,2.078246123
85,0.490313544,2.693594239
86,1.889651879,1.234884586
87,0.523551092,0.785293429
88,1.44761768,0.40082252
89,1.288315468,0.118324055
90,0.516948121,0.643780506
91,0.629540613,1.16111198
92,0.691713124,2.431340292
93,2.090430519,2.261319641
94,0.097397568,2.090139656
95,1.372602617,0.81619118
96,0.618111889,2.131703542
97,1.80336603,0.976044046
98,0.201342768,0.579131757
99,1.159324283,0.723172074
100,1.581378996,0.759501459
101,1.111426668,2.084750358
102,1.921823652,3.481362426
103,1.96733108,0.77615106
104,1.572555914,0.009042436
105,0.426619219,1.436843963
106,0.725181296,1.447133711
107,1.307057369,2.355362326
108,0.137097813,3.035084729
109,1.646001232,3.027517619
110,1.438906462,1.219056994
111,1.213074179,0.24908012
112,1.051510414,4.311975447
113,2.030890826,1.642489803
114,1.712198696,2.529664978
115,0.104978369,1.600940028
116,1.051734165,3.067908145
117,1.447494934,1.136977946
118,3.010134336,1.548268357
119,0.591987065,2.618652027
120,3.835874261,0.838795598
121,0.776404994,0.116796706
122,3.202902826,0.849827194
123,0.695632239,1.669059782
124,0.089707401,2.249989911
125,2.229105842,1.097255857
126,2.245482916,0.047701365
127,3.715530466,0.002641572
128,2.454612376,0.386469591
129,1.162845918,1.416945478
130,3.423662708,1.835010061
131,1.74387082,1.632728712
132,2.267533079,0.995608169
133,4.420781942,2.547671341
134,0.132455297,3.037876516
135,1.482288925,0.107158332
136,0.019720454,0.591226131
137,0.263844265,2.896271718
138,0.820988945,0.934444962
139,0.031054092,0.563083299
140,1.096306694,2.511438246
141,2.5046086,3.10825316
142,1.259488062,0.557897892
143,1.081714895,0.128446068
144,1.117420987,1.379325233
145,3.570020052,1.557671942
146,1.348563992,2.629308349
147,1.528953268,2.205766019
148,1.460308911,1.892238181
149,0.375263094,1.445870732
150,1.187548188,3.488738179
151,2.462903545,0.56298005
152,0.192116931,1.363093766
153,3.807691336,0.218192462
154,1.686955832,2.204779193
